,ВЫБОР ВНЕДОРОЖНИКА,,,,,,,,,
,,,,, Toyota  Camry,Ford Mondeo V,,RAV-4,X-TRAIL,SPORTAGE-NEW
,,,,,Элеганс safety,Titanium,,Комфорт плюс,LE Top,Exclusive
,Finance,,,,,,,,,
,цена,,,,28 430,27990,,26 895 ,27 524 ,29 300
,скидка,,,,,,,,,3600
,кредит,,,,,,,,,
,гарантия,,,,,,,,,5 лет
,стоимость обслуживания,,,,,,,,,
,Технические параметры,,,,,,,,,
,Расход,,,,11 / 5.9,10.7 / 6,,"9,4 /6,3",9.4/6.4,11.2 / 	6.7
,Объём,,,,"2,5(181)",2.0 (199),,"2,0 (146)","2,0 (144)","2,0i (155 л.с.) "
,КПП,,,,6АТ,6АТ,,Вариатор,Вариатор,"6АТ
"
,Привод,,,,Передний,Передний,,Полный подключаемый,Полный подключаемый,Полный подключаемый
,Длина,,,,4850,4850,,4605,4640,4485
,Комплектация,,,,,,,,,
,Фары,,,," светодиодные	
с автоматическим управлением дальним светом","галогеновые
с автоматическим управлением дальним светом",,светодиодные,"светодиодные
с автоматической коррекцией
Омыватель фар",светодиодные
,Диски,,,,R17 легкосплавные,,,стальные 17',R18 легкосплавные,R17 легкосплавные
,Безключевой доступ,,,,"Система дистанционной 
идентификации ключей",,,"Система дистанционной 
идентификации ключей","Система дистанционной 
идентификации ключей",да
,Запуск двигателя с кнопки,,,,да,,,да,да,да
,Подушки безопасности,,,,"фронтальные  (2)
боковые  (2)
боковые шторки  (4)
коленные  (1)",,,"фронтальные  (2)        
боковые  (2)        
боковые шторки  (4)
коленные 
Преднатяжители ремней","фронтальные  (2)	
боковые  (2)	
боковые шторки  (4)","Передние подушки безопасности с функцией отключения подушки безопасности пассажира
Боковые подушки безопасности и
 подушки безопасности занавесочного типа"
,Круиз-контроль  ,,,,адаптивный,,,да,,
,Климат,,,,двухзонный,,,двухзонный,двухзонный,Двузонный
,камера заднего вида ,,,,задняя,,,задняя,кругового,задняя
,-контроля давления воздуха в шинах (TMPS)        ,,,,,,,да,нет,да
,Комфорт,,,,,,,,,
, обивка сидений ,,,,кожей,,,тканью,кожей,Комбинированная
,Регулировка сиденья водителя  ,,,,"	
егулировка поясничного подпора
сидений водителя и пассажира с электроприводом
Электропривод	
сиденья водителя
сиденья переднего пассажира",,,по высоте механическая,"с электроприводом
с поясничного подпора",да
,Подогрев,,,,,,,,,
,"подогрев передних сидений, 
",,,,да,,,да,да,Трехступенчатый
,"Подогрев рулевого колеса
",,,,да,,,да,нет,да
,подогрев задних сидений,,,,да,,,нет,нет,да
,Подогрев лобового стекла ,,,,"с обогревом	
с обогревом форсунок стеклоомывателя",,,"с обогревом	
с обогревом в зоне стоянки стеклоочистителей
	с обогревом форсунок стеклоомы",обогревом,в районе стоянки щеток
,Мультимедиа,,,,,,,,,
,Дисплей передний	,,,,да,,,да,"7 дюймов, сенсорный",да
,"Навигационная система 7',",,,,нет,,,нет,да,да
,,,,,,,,,,
,вспомогательное,,,,,,,,,
,,,,,"Антиблокировочная система тормозов (ABS)
        
Система мониторинга состояния водителя
        
Система превентивного торможения
        
Антипробуксовочная система (ASR)
        
Крепления для детского сидения (IsoFix)
        
Система курсовой устойчивости (ESP)
        
Помощь при экстренном торможении (EBA)
        
Система распознавания дорожных знаков
        
Система распределения тормозных усилий (EBD)
        
Система предупреждения о пересечении разметки",,,"Антиблокировочная система тормозов (ABS)
	
Преднатяжители ремней
	
Антипробуксовочная система (ASR)
	
Система курсовой устойчивости (ESP)
	
Помощь при экстренном торможении (EBA)
	
Система распределения тормозных усилий (EBD)
	
Крепления для детского сидения (IsoFix)","	
Антиблокировочная система тормозов (ABS)
	
Крепления для детского сидения (IsoFix)
	
Антипробуксовочная система (ASR)
	
Система курсовой устойчивости (ESP)
	
Помощь при экстренном торможении (EBA)
	
Система распределения тормозных усилий (EBD)","● Антиблокировочная система тормозов (ABS)      
  ● Система распределения тормозного усилия (EBD)
● Система курсовой устойчивоси (ESC)    
    ● интегрированная система активного управления (VSM)
● Система помощи при экстренном торможении (BAS)        ● Система помощи при спуске со склона (DBC)
● Система помощи при трогании в гору (HAC)         "
,Складываемые задние,,,,,,,40/60,да,нет
,"Вентиляция передних сидений
",,,,,,,нет,нет,да
,,,,,,,,"Рейлинги на крышу
Окраска на выбор","неметаллик
Рейлинги на крышу        
Панорамная крыша","Продольные рейлинги на крыше
"